Company,Year,Quoted Boards To Date,Quoted Boards Currently,Years On Board,Age,Education,SD of Years on Board,SD of Years in Organization,SD of Age,SD of Education,Gender,
DRESSER-RAND GROUP INC,Current,4.1,2,4.3,61.9,2.4,1.6,1.6,3.7,3.4,0.9,85.7
DRESSER-RAND GROUP INC,Current,4.1,2,3.2,59.9,2.4,1.6,1.6,3.7,3.4,0.9,85.7
DRESSER-RAND GROUP INC,Dec-09,4.1,2,2.7,59.4,2.3,1.6,1.6,3.7,3.4,0.9,85.7
DRESSER-RAND GROUP INC,Dec-08,4.1,2,1.7,58.4,2.3,0.9,0.9,3.7,3.9,1,85.7
DPL INC,Current,1.8,1.4,5.6,65.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC,Current,1.8,1.5,4.5,63.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC,Dec-08,1.8,1.5,3.5,62.3,2.8,1.7,2.2,1.3,3.1,1.9,75
DPL INC,Dec-07,1.9,1.6,4.6,61.9,2.9,4.4,4.4,1.1,3.3,1.8,87.5
DOW CHEMICAL CO,Current,4.4,2.4,10.7,61.8,2.4,8.4,12.5,3,5.9,1.1,72.7
DOW CHEMICAL CO,Dec-09,4.4,2.3,10.6,61.1,2.1,8.2,12.5,3.2,5.9,0.7,70
DOW CHEMICAL CO,Dec-08,4.4,2.4,9.6,60.1,2.1,8.2,12.5,3.2,5.9,0.7,70
DOW CHEMICAL CO,Dec-07,4.6,2.3,8.3,58.7,2.2,8.5,8.5,2.9,6.1,0.6,66.7
ACUITY BRANDS INC (Quoted),Current,6.1,3.4,6.9,68,2.1,2.9,2.9,2.4,3.6,0.3,85.7
ACUITY BRANDS INC (Quoted),Aug-10,6.8,3.3,6.8,68.4,2,2.8,2.8,2.8,4.7,0.5,87.5
ACUITY BRANDS INC (Quoted),Aug-09,6.5,3.1,5.8,67.4,2,2.8,2.8,2.7,4.7,0.5,87.5
ACUITY BRANDS INC (Quoted),Aug-08,6.6,3.3,5.5,66.6,2,2.1,2.1,3.1,5,0.5,85.7
ADMINISTAFF INC (Quoted),Current,3.2,2,11,58.7,1.7,3.5,3.5,3.1,8.6,0.7,100
