VALERO ENERGY CORP (Quoted),Current,4.7,2.8,8.8,67.6,2.3,4.1,4.1,2.5,5.1,1.1,1.1
VALERO ENERGY CORP (Quoted),Current,4.7,2.8,8.8,67.6,2.3,4.1,4.1,2.5,5.1,1.1,1.1
VALERO ENERGY CORP (Quoted),Dec - 2009,4.6,2.6,7.8,67.2,2.3,3.9,3.9,2.4,5.2,1,1
VALERO ENERGY CORP (Quoted),Dec - 2008,4.6,2.8,6.8,66.2,2.3,3.9,3.9,2.4,5.2,1,1
VALHI INC (Quoted),Current,1.8,1.3,20.6,73.8,1.3,12.1,12.1,0.4,6.4,1.3,1.3
VALHI INC (Quoted),Current,1.8,1.3,20.6,73.8,1.3,12.1,12.1,0.4,6.4,1.3,1.3
VALHI INC (Quoted),Dec - 2009,1.8,1.3,18.6,71.8,1.3,12.1,12.1,0.4,6.4,1.3,1.3
VALHI INC (Quoted),Dec - 2008,1.8,1.3,17.6,70.8,1.3,12.1,12.1,0.4,6.4,1.3,1.3
VARIAN MEDICAL SYSTEMS INC (Quoted),Current,3.9,1.8,8.5,61.8,2.3,4.6,4.6,1.7,8.6,0.4,0.4
VARIAN MEDICAL SYSTEMS INC (Quoted),Current,3.6,1.8,7.3,60.8,2.3,4.6,4.6,1.7,8.6,0.4,0.4
VARIAN MEDICAL SYSTEMS INC (Quoted),Oct - 2009,3.8,1.9,6.7,58.4,2.3,4.6,4.6,1.8,8.6,0.4,0.4
VARIAN MEDICAL SYSTEMS INC (Quoted),Sep - 2008,3.4,1.9,5.5,57.8,2.2,4.2,4.2,1.9,8.8,0.4,0.4
VERIZON COMMUNICATIONS INC (Bell Atlantic Corp prior to 07/2000) (Quoted),Current,6.2,2.8,7.6,65.1,2.9,3.2,3.2,2.5,6.4,1.6,1.6
VERIZON COMMUNICATIONS INC (Bell Atlantic Corp prior to 07/2000) (Quoted),Current,6.1,2.7,7.2,65,3,3.2,3.2,2.5,6.4,1.6,1.6
VERIZON COMMUNICATIONS INC (Bell Atlantic Corp prior to 07/2000) (Quoted),Dec - 2009,5.8,2.6,6.2,64,3,2.6,2.6,2.4,5.9,1.6,1.6
VERIZON COMMUNICATIONS INC (Bell Atlantic Corp prior to 07/2000) (Quoted),Dec - 2008,5.8,2.6,5.4,63.7,2.9,2.6,2.6,2.6,5.9,1.6,1.6
VERSO PAPER CORP (Quoted),Current,3.6,2.3,3.4,49.5,1.4,0.9,2.7,2,13.6,0.7,0.7
VERSO PAPER CORP (Quoted),Current,2.8,1.5,2.4,48.5,1.4,0.9,2.7,2,13.6,0.7,0.7
VERSO PAPER CORP (Quoted),Dec - 2009,2.1,1,1.4,47.5,1.4,0.9,2.7,1.3,13.6,0.7,0.7
WACHOVIA CORP (De-listed 12/2008) (Quoted),Dec - 2008,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WACHOVIA CORP (De-listed 12/2008) (Quoted),Dec - 2008,4.3,2.4,4.6,62.3,2.4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WACHOVIA CORP (De-listed 12/2008) (Quoted),Dec - 2007,4.1,2.7,4,61.9,2.3,2.2,2.2,2.4,4.3,0.6,0.6
WACHOVIA CORP (De-listed 12/2008) (Quoted),Dec - 2006,4.3,2.9,3.8,61.5,2.2,2,2,2.5,4.8,0.8,0.8
WALGREEN CO (Quoted),Current,3,1.9,5.3,60,2,4.7,4.7,1.4,5.6,1.2,1.2
WALGREEN CO (Quoted),Current,3.2,2,5.5,59.7,2.2,4.7,4.7,1.4,5.6,1.2,1.2
WALGREEN CO (Quoted),Aug - 2010,2.6,1.9,11.5,62.7,2,4.6,4.6,1.3,5.5,1,1
